"id_user_source","reciprocity_count","class","class2"
"46,630",18,top_5,outstanding
"46,632",17,ordinary,ordinary
"46,635",16,ordinary,ordinary
"46,636",8,ordinary,ordinary
"46,647",5,top_10_15,outstanding
"46,650",8,ordinary,ordinary
"46,660",22,top_5_10,outstanding
"46,661",8,ordinary,ordinary
"46,664",8,ordinary,ordinary
"46,675",8,ordinary,ordinary
"46,703",10,ordinary,ordinary
"46,704",12,ordinary,ordinary
"46,708",8,ordinary,ordinary
"46,717",8,ordinary,ordinary
"46,722",2,top_5_10,outstanding
"46,742",8,ordinary,ordinary
"46,750",8,ordinary,ordinary
"46,781",8,ordinary,ordinary
"46,788",16,ordinary,ordinary
"46,814",8,ordinary,ordinary
"46,817",8,ordinary,ordinary
"46,820",2,ordinary,ordinary
"46,821",8,ordinary,ordinary
"46,832",3,ordinary,ordinary
"46,858",8,ordinary,ordinary
"46,864",8,ordinary,ordinary
"46,878",13,ordinary,ordinary
"46,882",8,top_10_15,outstanding
"46,889",8,ordinary,ordinary
"46,937",12,top_5,outstanding
"46,941",8,ordinary,ordinary
"46,943",8,ordinary,ordinary
"46,966",2,ordinary,ordinary
"46,972",7,ordinary,ordinary
"46,973",8,ordinary,ordinary
"46,982",15,ordinary,ordinary
"47,016",8,ordinary,ordinary
"47,023",8,ordinary,ordinary
"47,029",6,ordinary,ordinary
"47,033",8,ordinary,ordinary
"47,047",8,ordinary,ordinary
"47,049",25,ordinary,ordinary
"47,065",2,ordinary,ordinary
"47,068",8,ordinary,ordinary
"47,084",8,ordinary,ordinary
"47,093",8,ordinary,ordinary
"47,128",7,ordinary,ordinary
"47,139",8,top_5_10,outstanding
"47,161",28,top_10_15,outstanding
"47,193",8,top_5_10,outstanding
"47,200",8,top_5,outstanding
"47,213",7,top_10_15,outstanding
"47,312",8,ordinary,ordinary
"47,324",3,top_10_15,outstanding
"47,326",8,ordinary,ordinary
"47,378",27,top_5,outstanding
"47,390",12,top_5_10,outstanding
"47,419",8,ordinary,ordinary
"47,496",8,ordinary,ordinary
"47,501",6,ordinary,ordinary
"47,511",7,ordinary,ordinary
"47,537",8,ordinary,ordinary
"47,538",5,ordinary,ordinary
"47,540",8,ordinary,ordinary
"47,547",127,top_5,outstanding
"47,554",8,top_5_10,outstanding
"47,567",8,ordinary,ordinary
"47,582",8,ordinary,ordinary
"47,609",8,ordinary,ordinary
"47,619",8,ordinary,ordinary
"47,682",8,ordinary,ordinary
"47,698",8,ordinary,ordinary
"47,703",8,ordinary,ordinary
"47,751",6,top_10_15,outstanding
"47,773",14,ordinary,ordinary
"47,777",7,ordinary,ordinary
"47,779",10,ordinary,ordinary
"47,787",11,ordinary,ordinary
"47,789",7,ordinary,ordinary
"47,814",1,ordinary,ordinary
"47,816",7,ordinary,ordinary
"47,832",7,ordinary,ordinary
"47,869",7,ordinary,ordinary
"47,881",7,ordinary,ordinary
"47,951",7,ordinary,ordinary
"47,960",12,ordinary,ordinary
"47,983",15,top_5_10,outstanding
"47,991",16,top_5_10,outstanding
"47,995",4,top_10_15,outstanding
"48,024",7,ordinary,ordinary
"48,025",7,ordinary,ordinary
"48,064",7,ordinary,ordinary
"48,071",7,ordinary,ordinary
"48,084",12,ordinary,ordinary
"48,110",21,top_5,outstanding
"48,122",2,ordinary,ordinary
"48,171",7,ordinary,ordinary
"48,186",7,ordinary,ordinary
"48,198",7,ordinary,ordinary
"48,200",7,ordinary,ordinary
"48,228",10,top_5_10,outstanding
"48,237",7,ordinary,ordinary
"48,270",9,top_10_15,outstanding
"48,280",7,top_10_15,outstanding
"48,284",2,ordinary,ordinary
"48,285",1,top_5_10,outstanding
"48,307",53,top_5,outstanding
"48,354",7,ordinary,ordinary
"48,382",18,top_5,outstanding
"48,386",7,ordinary,ordinary
"48,432",7,ordinary,ordinary
"48,463",10,ordinary,ordinary
"48,464",21,top_10_15,outstanding
"48,477",3,ordinary,ordinary
"48,492",7,ordinary,ordinary
"48,558",5,ordinary,ordinary
"48,615",7,ordinary,ordinary
"48,628",5,ordinary,ordinary
"48,629",7,ordinary,ordinary
"48,634",7,ordinary,ordinary
"48,667",6,ordinary,ordinary
"48,699",16,top_10_15,outstanding
"48,710",7,ordinary,ordinary
"48,742",7,ordinary,ordinary
"48,751",10,top_10_15,outstanding
"48,757",7,ordinary,ordinary
"48,758",7,ordinary,ordinary
"48,772",4,top_10_15,outstanding
"48,799",5,top_5,outstanding
"48,868",4,ordinary,ordinary
"48,885",11,ordinary,ordinary
"48,887",10,top_5_10,outstanding
"48,893",63,top_5,outstanding
"48,900",7,ordinary,ordinary
"48,901",7,ordinary,ordinary
"48,913",7,ordinary,ordinary
"48,963",7,ordinary,ordinary
"48,985",7,ordinary,ordinary
"48,988",7,ordinary,ordinary
"49,008",6,ordinary,ordinary
"49,059",6,ordinary,ordinary
"49,066",6,ordinary,ordinary
"49,069",6,top_5_10,outstanding
"49,083",13,top_5_10,outstanding
"49,118",6,ordinary,ordinary
"49,122",32,top_5,outstanding
"49,128",6,ordinary,ordinary
"49,137",6,ordinary,ordinary
"49,138",18,top_5,outstanding
"49,140",6,ordinary,ordinary
"49,143",6,ordinary,ordinary
"49,175",12,ordinary,ordinary
"49,193",6,ordinary,ordinary
"49,218",6,ordinary,ordinary
"49,219",6,ordinary,ordinary
"49,220",6,ordinary,ordinary
"49,242",5,ordinary,ordinary
"49,251",10,top_5,outstanding
"49,267",2,ordinary,ordinary
"49,314",19,top_5_10,outstanding
"49,316",6,ordinary,ordinary
"49,319",5,ordinary,ordinary
"49,335",48,top_5,outstanding
"49,353",5,ordinary,ordinary
"49,359",6,ordinary,ordinary
"49,369",10,top_5,outstanding
"49,394",6,ordinary,ordinary
"49,409",11,top_5,outstanding
"49,419",12,ordinary,ordinary
"49,424",6,ordinary,ordinary
"49,446",6,ordinary,ordinary
"49,454",6,ordinary,ordinary
"49,455",6,ordinary,ordinary
"49,461",14,ordinary,ordinary
"49,469",17,ordinary,ordinary
"49,483",6,ordinary,ordinary
"49,484",11,ordinary,ordinary
"49,494",28,ordinary,ordinary
"49,506",22,top_5_10,outstanding
"49,535",12,ordinary,ordinary
"49,543",6,top_10_15,outstanding
"49,555",4,top_5_10,outstanding
"49,600",6,top_10_15,outstanding
"49,606",6,ordinary,ordinary
"49,610",6,top_10_15,outstanding
"49,619",6,ordinary,ordinary
"49,629",277,top_5,outstanding
"49,650",6,ordinary,ordinary
"49,668",4,ordinary,ordinary
"49,723",4,ordinary,ordinary
"49,725",6,ordinary,ordinary
"49,787",6,ordinary,ordinary
"49,804",5,top_10_15,outstanding
"49,807",12,ordinary,ordinary
"49,817",6,ordinary,ordinary
"49,820",6,ordinary,ordinary
"49,830",6,ordinary,ordinary
"49,831",6,ordinary,ordinary
"49,849",6,ordinary,ordinary
"49,862",16,ordinary,ordinary
"49,863",6,ordinary,ordinary
"49,881",10,ordinary,ordinary
"49,914",6,ordinary,ordinary
"49,939",5,ordinary,ordinary
"49,943",6,ordinary,ordinary
"49,944",5,ordinary,ordinary
"49,959",12,ordinary,ordinary
"49,971",11,ordinary,ordinary
"49,972",6,ordinary,ordinary
"49,979",6,ordinary,ordinary
"49,980",6,ordinary,ordinary
"49,989",6,ordinary,ordinary
"49,994",5,ordinary,ordinary
"49,995",5,ordinary,ordinary
"50,004",23,top_10_15,outstanding
"50,010",5,ordinary,ordinary
"50,038",5,ordinary,ordinary
"50,046",5,ordinary,ordinary
"50,055",15,ordinary,ordinary
"50,062",5,ordinary,ordinary
"50,063",5,ordinary,ordinary
"50,067",5,ordinary,ordinary
"50,084",15,top_5,outstanding
"50,094",1,ordinary,ordinary
"50,097",40,top_5,outstanding
"50,116",5,ordinary,ordinary
"50,121",5,ordinary,ordinary
"50,124",5,ordinary,ordinary
"50,137",5,ordinary,ordinary
"50,158",5,top_10_15,outstanding
"50,204",5,ordinary,ordinary
"50,207",4,ordinary,ordinary
"50,216",5,ordinary,ordinary
"50,221",5,ordinary,ordinary
"50,223",5,ordinary,ordinary
"50,227",5,ordinary,ordinary
"50,230",5,ordinary,ordinary
"50,234",5,ordinary,ordinary
"50,259",4,ordinary,ordinary
"50,285",5,ordinary,ordinary
"50,327",15,ordinary,ordinary
"50,347",10,top_5,outstanding
"50,356",3,ordinary,ordinary
"50,373",5,ordinary,ordinary
"50,405",10,ordinary,ordinary
"50,420",19,top_5_10,outstanding
"50,423",25,ordinary,ordinary
"50,428",5,ordinary,ordinary
"50,468",5,ordinary,ordinary
"50,509",5,ordinary,ordinary
"50,520",10,ordinary,ordinary
"50,545",4,ordinary,ordinary
"50,553",5,ordinary,ordinary
"50,576",18,top_5,outstanding
"50,616",10,ordinary,ordinary
"50,618",5,ordinary,ordinary
"50,621",3,ordinary,ordinary
"50,645",5,ordinary,ordinary
"50,647",4,top_10_15,outstanding
"50,651",5,ordinary,ordinary
"50,668",5,ordinary,ordinary
"50,679",21,top_5_10,outstanding
"50,717",25,top_5,outstanding
"50,721",5,ordinary,ordinary
"50,732",10,ordinary,ordinary
"50,737",10,top_5,outstanding
"50,745",19,ordinary,ordinary
"50,748",5,ordinary,ordinary
"50,785",5,ordinary,ordinary
"50,829",6,ordinary,ordinary
"50,831",4,ordinary,ordinary
"50,852",9,top_10_15,outstanding
"50,854",8,ordinary,ordinary
"50,855",8,top_5,outstanding
"50,864",4,ordinary,ordinary
"50,866",5,ordinary,ordinary
"50,875",5,ordinary,ordinary
"50,894",5,ordinary,ordinary
