"id_user","count","category","class"
"8,201",5,top_5_10,you
"8,210",4,top_10_15,you
"8,216",16,top_5,you
"8,229",32,top_5_10,you
"8,231",22,top_5,you
"8,247",1,top_10_15,you
"8,269",40,top_5,you
"8,270",248,top_5,you
"8,274",8,top_5,you
"8,275",4,top_5_10,you
"8,280",14,top_5_10,you
"8,303",9,top_10_15,you
"8,304",4,top_5_10,you
"8,311",1,top_5_10,you
"8,313",42,top_5,you
"8,326",7,top_5,you
"8,336",2,top_5_10,you
"8,337",5,top_5,you
"8,341",11,top_10_15,you
"8,350",40,top_5,you
"8,352",12,top_10_15,you
"8,353",24,top_5_10,you
"8,355",1,top_5_10,you
"8,361",2,top_10_15,you
"8,362",8,top_10_15,you
"8,387",10,top_5_10,you
"8,392",1,top_5_10,you
"8,398",13,top_5,you
"8,407",34,top_5,you
"8,408",29,top_5,you
"8,423",210,top_5,you
"8,437",10,top_10_15,you
"8,478",40,top_5,you
"8,490",3,top_10_15,you
"8,493",1,top_10_15,you
"8,498",1,top_5_10,you
"8,507",16,top_5,you
"8,512",14,top_5,you
"8,517",13,top_5_10,you
"8,524",8,top_10_15,you
"8,527",53,top_5,you
"8,529",4,top_10_15,you
"8,533",275,top_5,you
"8,535",20,top_5,you
"8,546",3,top_10_15,you
"8,584",9,top_5_10,you
"8,585",14,top_5_10,you
"8,586",22,top_5,you
"8,593",5,top_10_15,you
"8,601",14,top_10_15,you
"8,603",11,top_5,you
"8,674",14,top_5,you
"8,680",4,top_5_10,you
"8,698",11,top_5_10,you
"8,711",30,top_5,you
"8,712",20,top_5_10,you
"8,724",4,top_5_10,you
"8,729",4,top_10_15,you
"8,732",4,top_10_15,you
"8,740",1,top_10_15,you
"8,752",2,top_10_15,you
"8,771",79,top_5,you
"8,772",3,top_5_10,you
"8,774","4,259",top_5,you
"8,780",37,top_5_10,you
"8,796",5,top_5,you
"8,806",4,top_5,you
"8,808",13,top_5,you
"8,816",9,top_5,you
"8,821",5,top_5_10,you
"8,867",122,top_5,you
"8,872",38,top_5_10,you
"8,873",14,top_5_10,you
"8,881",4,top_10_15,you
"8,906",12,top_10_15,you
"8,917",1,top_10_15,you
"8,925",20,top_5,you
"8,931",4,top_5_10,you
"8,946",774,top_5,you
"8,962",22,top_5_10,you
"8,968",23,top_5,you
"8,971",28,top_5_10,you
"8,998",344,top_5,you
"9,006","1,377",top_5,you
"9,013",43,top_5,you
"9,014","1,374",top_5,you
"9,023",6,top_10_15,you
"9,032",54,top_5,you
"9,046",3,top_10_15,you
"9,065",347,top_5,you
"9,087",1,top_10_15,you
