"id_user","class","class2","modularity_class","citations","avg_part"
"32,010",top_5_10,outstanding,9,0,4.25
"32,012",ordinary,ordinary,44,0,1
"32,014",ordinary,ordinary,46,0,1
"32,015",top_5,outstanding,44,0,1.2
"32,018",ordinary,ordinary,46,0,3
"32,020",ordinary,ordinary,44,0,2
"32,023",top_5_10,outstanding,56,0,1.3333333333
"32,025",ordinary,ordinary,46,0,3
"32,027",ordinary,ordinary,44,0,1
"32,033",ordinary,ordinary,44,0,5
"32,036",ordinary,ordinary,9,0,1
"32,037",top_5_10,outstanding,9,0,1.5
"32,039",ordinary,ordinary,44,0,2
"32,041",ordinary,ordinary,44,0,6
"32,043",ordinary,ordinary,44,0,1
"32,044",ordinary,ordinary,56,2,3
"32,045",ordinary,ordinary,46,0,1
"32,051",ordinary,ordinary,46,0,1
"32,052",top_5,outstanding,56,0,2.25
"32,055",ordinary,ordinary,56,0,1
"32,057",ordinary,ordinary,44,0,2
"32,059",ordinary,ordinary,44,0,1
"32,060",top_5,outstanding,9,9,1.7826086957
"32,061",ordinary,ordinary,44,0,6
"32,062",top_5_10,outstanding,44,0,4
"32,063",ordinary,ordinary,56,0,1
"32,064",top_10_15,outstanding,43,0,1
"32,065",ordinary,ordinary,44,0,2
"32,067",ordinary,ordinary,47,1,1
"32,070",ordinary,ordinary,44,0,1
"32,073",top_5,outstanding,56,92,1.5620767494
"32,075",ordinary,ordinary,56,0,1
"32,078",top_10_15,outstanding,44,0,1.5
"32,080",top_5_10,outstanding,56,0,2
"32,082",top_5,outstanding,56,0,1.5775430795
"32,087",ordinary,ordinary,44,0,1
"32,088",ordinary,ordinary,44,0,1
"32,092",top_10_15,outstanding,56,0,1
"32,095",ordinary,ordinary,44,0,1
"32,097",ordinary,ordinary,56,0,1
"32,098",ordinary,ordinary,44,1,2
"32,099",ordinary,ordinary,46,0,2
"32,100",ordinary,ordinary,44,0,1
"32,101",top_5,outstanding,44,5,1.3888888889
"32,104",ordinary,ordinary,44,0,2
"32,107",ordinary,ordinary,44,0,1
"32,109",ordinary,ordinary,43,0,1
"32,110",ordinary,ordinary,46,1,2
"32,111",ordinary,ordinary,56,0,1
"32,112",top_5,outstanding,56,0,1.9444444444
"32,113",ordinary,ordinary,44,0,1
"32,115",top_5_10,outstanding,56,0,1.25
"32,116",ordinary,ordinary,44,0,1
"32,117",ordinary,ordinary,9,0,1
"32,118",top_10_15,outstanding,56,0,1
"32,119",ordinary,ordinary,44,0,1
"32,121",ordinary,ordinary,44,0,2
"32,122",ordinary,ordinary,44,0,1.3333333333
"32,125",ordinary,ordinary,44,0,1
"32,128",ordinary,ordinary,44,0,1
