"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"491,067",0,0.2987380454,0.6000000238,6,7,0.0128672328,0.3136114343,3,"34,777",2,11,46,4,0.0000369175,"1,043",0,145,ordinary,ordinary
"494,274",0,0.2755741127,0.5,2,8,0,0.2881274802,3,"38,757",0,2,56,2,0.0000155522,"3,839",0,145,ordinary,ordinary
"499,936",120.0097052833,0.2661188688,0,4,7,0.0006734608,0.2769364688,3,"31,074",1,4,44,3,0.0000361247,"1,043",0,145,ordinary,ordinary
"494,346",122.9419616222,0.269515495,0.5238095522,7,8,0.0542884582,0.2812160041,3,"38,835",6,9,16,1,0.0002080843,"1,043",0,145,ordinary,ordinary
"494,955",0,0.2847357066,0.3333333433,3,7,0.0182208482,0.2976803868,3,"39,572",1,4,9,2,0.0000563435,"1,043",0,145,ordinary,ordinary
"499,852",0,0.2400145408,0,3,8,0,0.2479947621,3,"30,977",0,3,44,3,0.0000155522,"6,936",0,145,ordinary,ordinary
"496,001",0,0.284743569,0.5,3,7,0.0001927139,0.2976240079,3,"41,312",1,6,9,2,0.0000155522,"4,909",0,145,ordinary,ordinary
"497,586","12,454.9403252036",0.2988902729,0.2884615362,16,7,0.0216204252,0.3138238664,3,"44,694",3,26,9,13,0.0001050921,"1,043",0,145,ordinary,ordinary
"496,832","24,529.6315404531",0.3033559361,0.1511627883,46,7,0.0686314732,0.321671673,3,"42,992",32,73,16,14,0.0003699848,"1,043",0,145,ordinary,ordinary
"500,677",0,0.302105986,0.8333333135,5,7,0.0128672328,0.3178605255,3,"31,979",2,5,44,3,0.0000369175,"1,043",0,145,ordinary,ordinary
"492,004",0,0.2905249257,0.3333333433,3,7,0,0.3041139069,3,"35,859",0,7,44,3,0.0000155522,"2,487",0,145,ordinary,ordinary
"492,656",0,0.27597742,0,1,7,0,0.2874395743,3,"36,637",0,1,43,1,0.0000155522,"2,894",0,145,ordinary,ordinary
"496,555",169.5011499528,0.2806122449,0.4166666567,5,7,0.0003925162,0.2932819264,3,"42,419",2,5,9,3,0.0000181969,"5,220",0,145,ordinary,ordinary
"498,586",0,0.2926829268,0,2,7,0,0.3068443362,3,"29,588",0,2,46,2,0.0000155522,"6,304",0,145,ordinary,ordinary
"490,016",0,0,0.1666666716,3,0,0.0183870765,0,3,"49,909",3,3,9,0,0.0000723346,809,0,145,ordinary,ordinary
"495,380",0,0.2759107302,0.5833333135,5,7,0.0044166534,0.2889571438,3,"40,088",2,9,43,3,0.0000354272,"1,043",0,145,ordinary,ordinary
"498,094",0,0.2568593112,0.5,3,8,0.0001927139,0.2666127796,3,"29,120",1,7,27,2,0.0000155522,"6,039",0,145,ordinary,ordinary
"490,595","2,287.532110367",0.3141326986,0.4909090996,13,7,0.0114071447,0.3307778349,3,"34,215",3,17,56,10,0.0000579298,"1,043",0,145,ordinary,ordinary
"491,232",0,0.2745047059,0.5833333135,5,8,0.0063767345,0.286770808,3,"34,965",2,24,56,3,0.0000462397,"1,043",0,145,ordinary,ordinary
"498,755",0,0,0,1,0,0.0027756478,0,3,"29,766",1,1,9,0,0.0000228027,838,0,145,ordinary,ordinary
"489,496","2,383.6012862167",0.3062775586,0.6000000238,13,7,0.0270780861,0.3226688857,3,"32,926",4,36,44,9,0.0000759661,"1,043",0,145,ordinary,ordinary
"490,171",0,0,1,2,0,0.0175236152,0,3,"50,086",2,2,31,0,0.0001023158,765,0,145,ordinary,ordinary
"490,300",0,0,0,1,0,0.0020640261,0,3,"50,243",1,1,9,0,0.0000298234,565,0,145,ordinary,ordinary
"489,552",0,0,0,1,0,0.0009353205,0,3,"32,982",1,1,44,0,0.0000198303,271,0,145,ordinary,ordinary
"492,351",0,0.2610866663,0,2,7,0,0.2715056672,3,"52,661",0,2,9,2,0.0000155522,"2,698",0,145,ordinary,ordinary
"489,611",0,0,0,1,0,0.0001857528,0,3,"33,054",1,1,56,0,0.0000188581,"1,183",0,145,ordinary,ordinary
"494,841",0,0.2632339747,0.3333333433,4,7,0.0001927139,0.2738654295,3,"55,816",1,6,9,3,0.0000155522,"4,191",0,145,ordinary,ordinary
"497,831",0,0,0,2,0,0.000478835,0,3,"45,223",2,2,41,0,0.0000204647,801,0,145,ordinary,ordinary
"489,798",0,0,0,1,0,0.0074842161,0,3,"33,257",1,1,47,0,0.0000777941,781,0,145,ordinary,ordinary
"489,631",0,0,0,1,0,0.0004252936,0,3,"49,456",1,1,47,0,0.0000229164,252,0,145,ordinary,ordinary
"493,668",0,0,0,1,0,0.0106800274,0,3,"37,963",1,2,44,0,0.0000554444,643,0,145,ordinary,ordinary
"490,344",0,0,0,1,0,0.0111129433,0,3,"50,293",1,2,30,0,0.0000489858,613,0,145,ordinary,ordinary
"499,549",0,0,0,1,0,0.0011836676,0,3,"46,986",1,1,9,0,0.00002242,498,0,145,ordinary,ordinary
"496,336",0,0,0,1,0,0.0041726387,0,3,"41,965",1,1,43,0,0.0000375703,672,0,145,ordinary,ordinary
"490,168",0,0,0.200000003,5,0,0.0172131553,0,3,"33,699",5,5,30,0,0.0001084914,729,0,145,ordinary,ordinary
"499,029",0,0,0,1,0,0.0005394411,0,3,"30,024",1,1,44,0,0.0000231085,80,0,145,ordinary,ordinary
"491,087",0,0,0,1,0,0.0012702921,0,3,"51,184",1,1,9,0,0.0000270546,184,0,145,ordinary,ordinary
"496,463",0,0,0,2,0,0.0005287591,0,3,"42,214",2,2,9,0,0.000022721,55,0,145,ordinary,ordinary
"490,341",0,0,0,1,0,0.001375724,0,3,"33,905",1,1,56,0,0.0000293295,736,0,145,ordinary,ordinary
