"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"234,905",0,0,0.5,4,0,0.0008814595,0,2,"16,474",3,5,0,1,0.0000508433,97,0,83,ordinary,ordinary
"238,423",38.1342763354,0.2563439203,0,3,7,0.0060090108,0.2664207491,2,"7,974",1,8,25,2,0.000075653,"1,057",0,83,ordinary,ordinary
"238,526",0,0.2915076037,0.6000000238,5,7,0,0.3050532622,2,"8,103",0,5,25,5,0.0000219181,"2,850",0,83,ordinary,ordinary
"235,135",0,0.2824742268,0.1666666716,6,7,0,0.2951465988,2,"16,986",0,7,0,6,0.0000219181,"1,200",0,83,ordinary,ordinary
"238,837","4,701.1455493404",0.3058985812,0.3928571343,10,6,0.0045535019,0.3214050533,2,"8,480",5,16,25,5,0.0000633506,"1,057",0,83,ordinary,ordinary
"235,734","7,566",0.3243939816,0.6428571343,7,6,0.0159055964,0.3429568392,2,"18,311",1,10,27,6,0.000045293,"1,057",0,83,ordinary,ordinary
"243,332",0,0.2538281293,0,1,7,0,0.2631080169,2,"15,310",0,1,25,1,0.0000219181,"5,069",0,83,ordinary,ordinary
"237,330",0,0.3018537724,1,3,7,0.0011837336,0.3173021667,2,"22,839",1,3,27,2,0.0000443353,"1,057",0,83,ordinary,ordinary
"239,417",0,0.2470432246,0,1,7,0,0.2568341205,2,"25,604",0,1,0,1,0.0000219181,"3,278",0,83,ordinary,ordinary
"239,640",0,0.285119667,0.5,2,7,0,0.2975459527,2,"9,494",0,2,35,2,0.0000219181,"3,384",0,83,ordinary,ordinary
"242,597",0,0.2934467549,0.5833333135,5,7,0.0283332593,0.3077901163,2,"13,803",3,6,22,2,0.000126452,"1,057",0,83,ordinary,ordinary
"238,204",0,0.2357287449,0,1,7,0,0.2424333967,2,"7,673",0,1,25,1,0.0000219181,"2,711",0,83,ordinary,ordinary
"235,811",0,0.3016777871,0,2,7,0.0159055964,0.3169943863,2,"18,464",1,2,27,1,0.000045293,"1,057",0,83,ordinary,ordinary
"240,655",0,0.2783720791,0.5,5,7,0.0002161533,0.2898500276,2,"27,213",1,5,0,4,0.0000219181,"3,852",0,83,ordinary,ordinary
"238,256",0,0,0,1,0,0.0002453172,0,2,"7,752",1,1,25,0,0.0000243446,624,0,83,ordinary,ordinary
"238,922",0,0,0,1,0,0.0002161533,0,2,"24,953",1,1,0,0,0.0000242396,"3,002",0,83,ordinary,ordinary
"243,378","7,639.8624058746",0.2731538507,0,4,7,0.0006595581,0.2852347209,2,"15,396",2,4,22,2,0.0000443308,"1,057",0,83,ordinary,ordinary
"242,158",0,0.2940285318,0.4499999881,6,7,0.0002161533,0.3068934143,2,"12,884",1,6,27,5,0.0000219181,"4,541",0,83,ordinary,ordinary
"235,884",0,0.3136489125,0.3000000119,11,6,0.0002161533,0.3316802633,2,"18,676",1,21,17,10,0.0000219181,"1,586",0,83,ordinary,ordinary
"237,361","12,765.843067577",0.2570513882,0.0992647037,20,7,0.0144847144,0.2667755657,2,"22,938",16,31,20,4,0.0001879708,"1,057",0,83,ordinary,ordinary
"241,454","1,343.7659631093",0.3157502204,0.555555582,11,6,0.0121403996,0.3334263832,2,"11,802",4,29,22,7,0.000091513,"1,057",0,83,ordinary,ordinary
"234,966",116.1424052369,0.3045582369,0.5238095522,8,7,0.0035659206,0.3204500138,2,"16,600",2,16,25,6,0.0000440847,"1,057",0,83,ordinary,ordinary
"243,285",513.0915254886,0.3145346481,0.625,10,7,0.0399937355,0.3325158236,2,"15,203",6,24,0,4,0.0001862516,"1,057",0,83,ordinary,ordinary
"241,135",43.7909207314,0.2909795102,0.348484844,13,7,0.0004403109,0.3066143246,2,"27,779",2,39,0,11,0.0000237812,"4,083",0,83,ordinary,ordinary
"239,620",39.5282045926,0.2694087701,0.5,2,7,0.008214931,0.2797953925,2,"9,465",1,2,35,1,0.0000758188,"1,057",0,83,ordinary,ordinary
"235,728",0,0,0,1,0,0.0002601232,0,2,"18,294",1,1,22,0,0.000028319,192,0,83,ordinary,ordinary
"238,257","9,206.5684983636",0.2706771287,0.1964285672,8,7,0.0024772619,0.2830332219,2,"7,753",1,9,25,7,0.0000399612,"1,057",0,83,ordinary,ordinary
"243,800",0,0.2866461538,0.1333333403,6,7,0,0.3006052056,2,"16,378",0,7,22,6,0.0000219181,"5,275",0,83,ordinary,ordinary
"243,408",0,0.2920925566,0,1,7,0,0.3064211086,2,"15,455",0,1,17,1,0.0000219181,"5,099",0,83,ordinary,ordinary
"238,528",0,0.2539665231,0,1,7,0,0.263194913,2,"8,107",0,1,25,1,0.0000219181,"2,851",0,83,ordinary,ordinary
"235,782",28.262617112,0.3184491247,0.5666666627,8,6,0.0004815231,0.3364039797,2,"18,400",2,12,27,6,0.0000271417,"1,057",0,83,ordinary,ordinary
"240,439",47.5624266319,0.2759642159,0.3333333433,5,7,0.0004323067,0.2883293463,2,"26,938",2,5,0,3,0.0000312336,"1,276",0,83,ordinary,ordinary
"238,278","1,113.0817232634",0.2821056457,0.3545454443,12,7,0.0043704833,0.2960699203,2,"7,781",2,18,25,10,0.0000953379,"1,057",0,83,ordinary,ordinary
"234,938",0,0.288518702,0.1666666716,3,7,0,0.3016496489,2,"16,543",0,3,22,3,0.0000219181,"1,100",0,83,ordinary,ordinary
"237,427",0,0,0,1,0,0.0019544024,0,2,"6,720",1,1,25,0,0.0000320059,19,0,83,ordinary,ordinary
"238,395","4,792.772768957",0.2926538051,0.2857142985,8,7,0.0012327929,0.3072599364,2,"24,317",4,14,0,4,0.0000490578,"1,057",0,83,ordinary,ordinary
"238,088",0,0,0,1,0,0.0002761012,0,2,"7,536",1,1,25,0,0.0000276362,841,0,83,ordinary,ordinary
"242,634",0,0.3213743618,0.6666666865,7,6,0.0002161533,0.3387863174,2,"13,860",1,17,22,6,0.0000219181,"4,738",0,83,ordinary,ordinary
"236,779",149.1059584079,0.2806097855,0.200000003,7,7,0.0018630514,0.2927216581,2,"21,284",4,7,17,3,0.0000524674,"1,057",0,83,ordinary,ordinary
"243,750",0,0.2982647115,0.6666666865,4,7,0.0002161533,0.3138098305,2,"16,263",1,11,17,3,0.0000219181,"5,255",0,83,ordinary,ordinary
"235,582",0,0.2946795723,0.5,5,7,0.0002161533,0.3093372385,2,"17,960",1,7,27,4,0.0000219181,"1,424",0,83,ordinary,ordinary
"240,913",0,1,0,1,1,0,1,2,"11,139",0,1,35,1,0.0000219181,"3,971",0,83,ordinary,ordinary
"239,296","4,658",0.2861617837,0.2666666806,7,7,0.0004404574,0.2982338331,2,"9,063",2,10,0,5,0.0000473987,"3,215",0,83,ordinary,ordinary
"241,162",0,0.3033934736,1,2,7,0,0.3183616512,2,"11,430",0,2,22,2,0.0000219181,"4,095",0,83,ordinary,ordinary
"239,301",0,0.2552200362,0.6666666865,4,7,0.0063125759,0.2650572103,2,"9,071",2,5,25,2,0.000075653,"1,057",0,83,ordinary,ordinary
"239,608",0,0.2440532327,0,1,8,0,0.2515112249,2,"9,450",0,1,25,1,0.0000219181,"3,364",0,83,ordinary,ordinary
"240,584","34,772.1462513779",0.2817813275,0.1272727251,12,7,0.0080067484,0.2939420432,2,"27,127",2,17,26,10,0.0000575122,"1,057",0,83,ordinary,ordinary
"238,531",0,0.2723710375,0.3333333433,3,7,0.0002690663,0.2833343559,2,"24,495",1,6,0,2,0.0000260687,"1,057",0,83,ordinary,ordinary
"240,662",51.2569828697,0.2730897789,0,2,7,0.0040412939,0.2850629365,2,"10,837",1,2,0,1,0.0000359835,"1,057",0,83,ordinary,ordinary
"235,076",0,0.2429458092,0.3333333433,4,7,0.0002161533,0.2510596209,2,"16,870",1,4,17,3,0.0000219181,"1,166",0,83,ordinary,ordinary
"236,594",0,0.2674245034,0.5,3,7,0.0002161533,0.278069476,2,"20,782",1,3,0,2,0.0000219181,"1,961",0,83,ordinary,ordinary
"234,974",0,0.3082318687,0.6666666865,4,6,0.0002161533,0.3244453986,2,"16,628",1,6,18,3,0.0000219181,"1,112",0,83,ordinary,ordinary
