"id_user","count_i_usage","category","class","class2"
"10,441",13,top_25_30,ordinary,ordinary
"10,442",1,top_40_45,ordinary,ordinary
"10,443",5,top_50_100,ordinary,ordinary
"10,445",15,top_10_15,top_10_15,outstanding
"10,455",31,top_50_100,ordinary,ordinary
"10,457",9,top_20_25,ordinary,ordinary
"10,466",2,top_50_100,ordinary,ordinary
"10,468",1,top_50_100,ordinary,ordinary
"10,473",1,top_10_15,top_10_15,outstanding
"10,474",4,top_50_100,ordinary,ordinary
"10,476",4,top_50_100,ordinary,ordinary
"10,478",1,top_50_100,ordinary,ordinary
"10,481",5,top_35_40,ordinary,ordinary
"10,482",1,top_25_30,ordinary,ordinary
"10,490",3,top_10_15,top_10_15,outstanding
"10,495",3,top_10_15,top_10_15,outstanding
"10,496",3,top_50_100,ordinary,ordinary
"10,497",11,top_30_35,ordinary,ordinary
"10,500",1,top_50_100,ordinary,ordinary
"10,503",14,top_5_10,top_5_10,outstanding
"10,504",33,top_15_20,ordinary,ordinary
"10,509",3,top_50_100,ordinary,ordinary
"10,515",14,top_5_10,top_5_10,outstanding
"10,516",1,top_50_100,ordinary,ordinary
"10,517",10,top_50_100,ordinary,ordinary
"10,519",2,top_40_45,ordinary,ordinary
"10,521",6,top_50_100,ordinary,ordinary
"10,524",1,top_45_50,ordinary,ordinary
"10,530",6,top_25_30,ordinary,ordinary
"10,532",25,top_15_20,ordinary,ordinary
"10,534",16,top_50_100,ordinary,ordinary
"10,537",5,top_15_20,ordinary,ordinary
"10,538",2,top_30_35,ordinary,ordinary
"10,541",1,top_50_100,ordinary,ordinary
"10,543",6,top_10_15,top_10_15,outstanding
"10,544",1,top_40_45,ordinary,ordinary
"10,547",1,top_50_100,ordinary,ordinary
"10,550",1,top_50_100,ordinary,ordinary
"10,555",150,top_10_15,top_10_15,outstanding
"10,556",12,top_30_35,ordinary,ordinary
"10,560",4,top_50_100,ordinary,ordinary
"10,562",6,top_20_25,ordinary,ordinary
"10,563",7,top_25_30,ordinary,ordinary
"10,564",64,top_10_15,top_10_15,outstanding
"10,565",8,top_10_15,top_10_15,outstanding
"10,567",1,top_50_100,ordinary,ordinary
"10,568",1,top_50_100,ordinary,ordinary
"10,569",7,top_30_35,ordinary,ordinary
"10,574",6,top_25_30,ordinary,ordinary
"10,576",2,top_35_40,ordinary,ordinary
"10,577",5,top_30_35,ordinary,ordinary
"10,578",16,top_25_30,ordinary,ordinary
"10,582",1,top_50_100,ordinary,ordinary
"10,584",1,top_50_100,ordinary,ordinary
"10,585",118,top_5,top_5,outstanding
"10,593",24,top_15_20,ordinary,ordinary
"10,595",7,top_50_100,ordinary,ordinary
"10,599",18,top_15_20,ordinary,ordinary
"10,601",11,top_5_10,top_5_10,outstanding
"10,604",4,top_35_40,ordinary,ordinary
"10,605",2,top_40_45,ordinary,ordinary
