"id_user","count_i_usage","category","class","class2"
"33,077",14,top_10_15,top_10_15,outstanding
"33,080",1,top_35_40,ordinary,ordinary
"33,081",1,top_50_100,ordinary,ordinary
"33,084",13,top_20_25,ordinary,ordinary
"33,086",1,top_40_45,ordinary,ordinary
"33,089",9,top_5_10,top_5_10,outstanding
"33,091",123,top_5,top_5,outstanding
"33,092",266,top_5,top_5,outstanding
"33,094",5,top_40_45,ordinary,ordinary
"33,097",5,top_50_100,ordinary,ordinary
"33,098",1,top_15_20,ordinary,ordinary
"33,101",11,top_35_40,ordinary,ordinary
"33,104",379,top_5,top_5,outstanding
"33,108",3,top_50_100,ordinary,ordinary
"33,110",27,top_50_100,ordinary,ordinary
"33,111",60,top_5_10,top_5_10,outstanding
"33,112",3,top_15_20,ordinary,ordinary
"33,113",4,top_5,top_5,outstanding
"33,115",157,top_5,top_5,outstanding
"33,117",13,top_50_100,ordinary,ordinary
"33,118",3,top_10_15,top_10_15,outstanding
"33,119",5,top_50_100,ordinary,ordinary
"33,120",4,top_45_50,ordinary,ordinary
"33,124",2,top_50_100,ordinary,ordinary
"33,125",82,top_5,top_5,outstanding
"33,127",4,top_10_15,top_10_15,outstanding
"33,134",1,top_25_30,ordinary,ordinary
"33,140",37,top_5_10,top_5_10,outstanding
"33,141",13,top_35_40,ordinary,ordinary
"33,142",2,top_40_45,ordinary,ordinary
"33,145",167,top_5,top_5,outstanding
"33,148",3,top_30_35,ordinary,ordinary
"33,151",24,top_5_10,top_5_10,outstanding
"33,152",16,top_15_20,ordinary,ordinary
"33,153",17,top_5_10,top_5_10,outstanding
"33,154",48,top_5,top_5,outstanding
"33,157",8,top_10_15,top_10_15,outstanding
"33,159",17,top_10_15,top_10_15,outstanding
"33,160",8,top_50_100,ordinary,ordinary
"33,161",12,top_15_20,ordinary,ordinary
"33,166",145,top_5,top_5,outstanding
"33,167",3,top_50_100,ordinary,ordinary
"33,168",5,top_10_15,top_10_15,outstanding
"33,176",4,top_50_100,ordinary,ordinary
"33,179",5,top_50_100,ordinary,ordinary
"33,183",2,top_50_100,ordinary,ordinary
"33,184",7,top_5_10,top_5_10,outstanding
"33,187",12,top_10_15,top_10_15,outstanding
"33,188",4,top_35_40,ordinary,ordinary
"33,190",2,top_50_100,ordinary,ordinary
"33,191",49,top_5,top_5,outstanding
"33,192",2,top_50_100,ordinary,ordinary
"33,194",1,top_15_20,ordinary,ordinary
"33,195",1,top_35_40,ordinary,ordinary
"33,196",1,top_25_30,ordinary,ordinary
"33,197",6,top_5_10,top_5_10,outstanding
"33,198",13,top_15_20,ordinary,ordinary
"33,200",4,top_40_45,ordinary,ordinary
"33,201",9,top_45_50,ordinary,ordinary
"33,204",1,top_25_30,ordinary,ordinary
"33,208",1,top_50_100,ordinary,ordinary
"33,209",5,top_50_100,ordinary,ordinary
"33,213",2,top_25_30,ordinary,ordinary
"33,217",17,top_10_15,top_10_15,outstanding
"33,220",13,top_35_40,ordinary,ordinary
"33,221",5,top_50_100,ordinary,ordinary
"33,222",10,top_20_25,ordinary,ordinary
"33,225",1,top_50_100,ordinary,ordinary
"33,228",2,top_25_30,ordinary,ordinary
"33,232",4,top_50_100,ordinary,ordinary
"33,235",1,top_20_25,ordinary,ordinary
"33,236",12,top_50_100,ordinary,ordinary
"33,237",9,top_5,top_5,outstanding
"33,240",4,top_20_25,ordinary,ordinary
"33,242",3,top_50_100,ordinary,ordinary
"33,244",8,top_15_20,ordinary,ordinary
"33,246",1,top_5_10,top_5_10,outstanding
"33,247",4,top_50_100,ordinary,ordinary
"33,257",1,top_25_30,ordinary,ordinary
"33,258",4,top_25_30,ordinary,ordinary
"33,260",1,top_5_10,top_5_10,outstanding
"33,266",2,top_25_30,ordinary,ordinary
"33,267",1,top_50_100,ordinary,ordinary
"33,268",5,top_15_20,ordinary,ordinary
"33,269",4,top_10_15,top_10_15,outstanding
"33,274",5,top_25_30,ordinary,ordinary
"33,277",1,top_25_30,ordinary,ordinary
"33,278",37,top_5_10,top_5_10,outstanding
"33,282",3,top_20_25,ordinary,ordinary
"33,284",6,top_25_30,ordinary,ordinary
"33,287",2,top_45_50,ordinary,ordinary
"33,288",25,top_5_10,top_5_10,outstanding
"33,291",2,top_50_100,ordinary,ordinary
"33,292",3,top_50_100,ordinary,ordinary
"33,299",31,top_5,top_5,outstanding
"33,304",3,top_10_15,top_10_15,outstanding
"33,311",855,top_5,top_5,outstanding
"33,313",140,top_5,top_5,outstanding
"33,314",26,top_10_15,top_10_15,outstanding
"33,316",22,top_10_15,top_10_15,outstanding
"33,317",1,top_10_15,top_10_15,outstanding
"33,319",8,top_20_25,ordinary,ordinary
"33,320",9,top_40_45,ordinary,ordinary
"33,332","2,216",top_5,top_5,outstanding
"33,337",4,top_35_40,ordinary,ordinary
"33,338",3,top_45_50,ordinary,ordinary
"33,339",10,top_30_35,ordinary,ordinary
"33,341",3,top_40_45,ordinary,ordinary
"33,344",3,top_20_25,ordinary,ordinary
"33,346",9,top_50_100,ordinary,ordinary
"33,347",27,top_40_45,ordinary,ordinary
"33,348",6,top_20_25,ordinary,ordinary
"33,351",4,top_50_100,ordinary,ordinary
"33,352",235,top_5,top_5,outstanding
"33,356",13,top_35_40,ordinary,ordinary
"33,360",2,top_50_100,ordinary,ordinary
"33,361",1,top_25_30,ordinary,ordinary
"33,362",3,top_50_100,ordinary,ordinary
"33,364",15,top_5_10,top_5_10,outstanding
"33,366",2,top_50_100,ordinary,ordinary
"33,368",13,top_35_40,ordinary,ordinary
"33,369",3,top_45_50,ordinary,ordinary
"33,374",1,top_5,top_5,outstanding
"33,377",1,top_15_20,ordinary,ordinary
"33,382",1,top_50_100,ordinary,ordinary
"33,388",5,top_20_25,ordinary,ordinary
"33,394",16,top_30_35,ordinary,ordinary
"33,395",39,top_10_15,top_10_15,outstanding
"33,406",1,top_50_100,ordinary,ordinary
"33,407",3,top_20_25,ordinary,ordinary
"33,409",1,top_50_100,ordinary,ordinary
"33,412",13,top_50_100,ordinary,ordinary
"33,413",1,top_50_100,ordinary,ordinary
"33,417",1,top_25_30,ordinary,ordinary
"33,418",13,top_5_10,top_5_10,outstanding
"33,419",5,top_30_35,ordinary,ordinary
"33,420",5,top_15_20,ordinary,ordinary
"33,422",106,top_5,top_5,outstanding
"33,424",10,top_15_20,ordinary,ordinary
"33,425",1,top_10_15,top_10_15,outstanding
"33,429",24,top_5_10,top_5_10,outstanding
"33,430",1,top_50_100,ordinary,ordinary
"33,431",2,top_10_15,top_10_15,outstanding
"33,438",2,top_10_15,top_10_15,outstanding
"33,440",4,top_35_40,ordinary,ordinary
"33,442",2,top_45_50,ordinary,ordinary
"33,443",2,top_35_40,ordinary,ordinary
"33,446",1,top_50_100,ordinary,ordinary
"33,448",18,top_5_10,top_5_10,outstanding
"33,449",3,top_50_100,ordinary,ordinary
"33,450",44,top_5_10,top_5_10,outstanding
"33,456",24,top_30_35,ordinary,ordinary
"33,458",3,top_45_50,ordinary,ordinary
"33,460",18,top_35_40,ordinary,ordinary
"33,464",3,top_15_20,ordinary,ordinary
"33,466",13,top_50_100,ordinary,ordinary
"33,469",44,top_5_10,top_5_10,outstanding
"33,470",28,top_5,top_5,outstanding
"33,472",1,top_50_100,ordinary,ordinary
"33,473",10,top_50_100,ordinary,ordinary
"33,477",11,top_10_15,top_10_15,outstanding
"33,478",55,top_5,top_5,outstanding
"33,479",4,top_10_15,top_10_15,outstanding
"33,480",2,top_50_100,ordinary,ordinary
"33,481",3,top_15_20,ordinary,ordinary
"33,484",13,top_15_20,ordinary,ordinary
"33,486",47,top_5_10,top_5_10,outstanding
"33,488",20,top_15_20,ordinary,ordinary
"33,489",1,top_15_20,ordinary,ordinary
"33,490",5,top_35_40,ordinary,ordinary
"33,491",6,top_20_25,ordinary,ordinary
"33,498",3,top_10_15,top_10_15,outstanding
"33,501",32,top_5_10,top_5_10,outstanding
"33,507",2,top_5_10,top_5_10,outstanding
"33,508",140,top_5,top_5,outstanding
"33,511",13,top_5_10,top_5_10,outstanding
"33,512",6,top_5,top_5,outstanding
"33,513",7,top_20_25,ordinary,ordinary
"33,514",1,top_50_100,ordinary,ordinary
"33,515",16,top_5,top_5,outstanding
"33,517",5,top_15_20,ordinary,ordinary
"33,522",2,top_15_20,ordinary,ordinary
"33,523",4,top_15_20,ordinary,ordinary
"33,525",22,top_15_20,ordinary,ordinary
"33,530",7,top_5,top_5,outstanding
"33,534",43,top_5,top_5,outstanding
"33,537",1,top_20_25,ordinary,ordinary
"33,539",2,top_50_100,ordinary,ordinary
"33,541",6,top_15_20,ordinary,ordinary
"33,542",4,top_5,top_5,outstanding
"33,543",1,top_10_15,top_10_15,outstanding
"33,545",3,top_20_25,ordinary,ordinary
"33,546",1,top_5_10,top_5_10,outstanding
"33,547",7,top_50_100,ordinary,ordinary
"33,551",7,top_5_10,top_5_10,outstanding
"33,552",1,top_25_30,ordinary,ordinary
"33,557",16,top_30_35,ordinary,ordinary
"33,565",189,top_5,top_5,outstanding
"33,568",3,top_50_100,ordinary,ordinary
"33,570",2,top_25_30,ordinary,ordinary
"33,571",15,top_20_25,ordinary,ordinary
"33,574",7,top_20_25,ordinary,ordinary
"33,578",1,top_25_30,ordinary,ordinary
"33,580",1,top_30_35,ordinary,ordinary
"33,583",142,top_5,top_5,outstanding
"33,584",25,top_40_45,ordinary,ordinary
"33,587",4,top_5_10,top_5_10,outstanding
"33,590",1,top_35_40,ordinary,ordinary
"33,592",24,top_5_10,top_5_10,outstanding
"33,593",31,top_5_10,top_5_10,outstanding
"33,594",4,top_45_50,ordinary,ordinary
"33,595",3,top_15_20,ordinary,ordinary
"33,598",3,top_20_25,ordinary,ordinary
"33,601",5,top_40_45,ordinary,ordinary
"33,605",31,top_40_45,ordinary,ordinary
"33,608",4,top_20_25,ordinary,ordinary
"33,609",3,top_50_100,ordinary,ordinary
"33,610",12,top_35_40,ordinary,ordinary
"33,614",9,top_5_10,top_5_10,outstanding
"33,617",37,top_5,top_5,outstanding
"33,618",2,top_50_100,ordinary,ordinary
"33,622",5,top_45_50,ordinary,ordinary
"33,623",1,top_5,top_5,outstanding
"33,630",3,top_50_100,ordinary,ordinary
"33,632",6,top_30_35,ordinary,ordinary
"33,633",2,top_50_100,ordinary,ordinary
"33,638",13,top_5,top_5,outstanding
"33,642",1,top_15_20,ordinary,ordinary
"33,645",32,top_5,top_5,outstanding
"33,651",2,top_50_100,ordinary,ordinary
"33,654",1,top_35_40,ordinary,ordinary
"33,656",6,top_10_15,top_10_15,outstanding
"33,660",3,top_20_25,ordinary,ordinary
"33,661",3,top_50_100,ordinary,ordinary
"33,668",2,top_50_100,ordinary,ordinary
"33,672",14,top_50_100,ordinary,ordinary
"33,673",26,top_5_10,top_5_10,outstanding
"33,678",15,top_10_15,top_10_15,outstanding
"33,680",4,top_35_40,ordinary,ordinary
"33,683",4,top_50_100,ordinary,ordinary
"33,684",2,top_10_15,top_10_15,outstanding
"33,687",1,top_25_30,ordinary,ordinary
"33,689",1,top_10_15,top_10_15,outstanding
"33,690",163,top_5,top_5,outstanding
"33,691",5,top_50_100,ordinary,ordinary
"33,693",7,top_5_10,top_5_10,outstanding
"33,694",2,top_50_100,ordinary,ordinary
"33,696",30,top_5,top_5,outstanding
"33,697",5,top_50_100,ordinary,ordinary
"33,699",1,top_25_30,ordinary,ordinary
"33,700",1,top_40_45,ordinary,ordinary
"33,704",20,top_5_10,top_5_10,outstanding
"33,709",12,top_50_100,ordinary,ordinary
"33,712",52,top_5_10,top_5_10,outstanding
"33,713",13,top_45_50,ordinary,ordinary
"33,716",3,top_50_100,ordinary,ordinary
"33,720",116,top_5,top_5,outstanding
"33,721",9,top_15_20,ordinary,ordinary
"33,722",16,top_50_100,ordinary,ordinary
"33,725",18,top_5,top_5,outstanding
"33,728",250,top_5,top_5,outstanding
"33,729",11,top_5_10,top_5_10,outstanding
"33,731",3,top_50_100,ordinary,ordinary
"33,733",8,top_30_35,ordinary,ordinary
"33,734",4,top_50_100,ordinary,ordinary
"33,738",1,top_20_25,ordinary,ordinary
