"id_user","count_they_usage","category","class","class2"
"7,942",33,top_5,top_5,outstanding
"7,943",76,top_5,top_5,outstanding
"7,947",38,top_5,top_5,outstanding
"7,951",1,top_25_30,ordinary,ordinary
"7,956",3,top_10_15,top_10_15,outstanding
"7,959",3,top_5_10,top_5_10,outstanding
"7,961",2,top_10_15,top_10_15,outstanding
"7,962",1,top_5_10,top_5_10,outstanding
"7,966",1,top_40_45,ordinary,ordinary
"7,967",4,top_10_15,top_10_15,outstanding
"7,975",2,top_50_100,ordinary,ordinary
"7,976",2,top_20_25,ordinary,ordinary
"7,977",1,top_50_100,ordinary,ordinary
"7,981",9,top_5_10,top_5_10,outstanding
"7,988",2,top_15_20,ordinary,ordinary
"7,991",5,top_50_100,ordinary,ordinary
"7,993",50,top_5,top_5,outstanding
"7,994",2,top_10_15,top_10_15,outstanding
"7,995",3,top_5_10,top_5_10,outstanding
"7,998",6,top_50_100,ordinary,ordinary
"8,001",10,top_5,top_5,outstanding
"8,006",66,top_5,top_5,outstanding
"8,014",23,top_5,top_5,outstanding
"8,015",8,top_5_10,top_5_10,outstanding
"8,016",1,top_50_100,ordinary,ordinary
"8,017",3,top_50_100,ordinary,ordinary
"8,020",25,top_15_20,ordinary,ordinary
"8,021",1,top_20_25,ordinary,ordinary
"8,022",2,top_5_10,top_5_10,outstanding
"8,029",1,top_25_30,ordinary,ordinary
"8,031",1,top_5_10,top_5_10,outstanding
"8,033",19,top_5,top_5,outstanding
"8,035",6,top_5_10,top_5_10,outstanding
"8,037",3,top_30_35,ordinary,ordinary
"8,041",2,top_5_10,top_5_10,outstanding
"8,042",1,top_20_25,ordinary,ordinary
"8,044",4,top_30_35,ordinary,ordinary
"8,046",61,top_5,top_5,outstanding
"8,048",3,top_10_15,top_10_15,outstanding
"8,050",4,top_50_100,ordinary,ordinary
"8,054",4,top_30_35,ordinary,ordinary
"8,060",2,top_50_100,ordinary,ordinary
"8,061",2,top_20_25,ordinary,ordinary
"8,063",1,top_40_45,ordinary,ordinary
"8,074",4,top_10_15,top_10_15,outstanding
"8,076",8,top_10_15,top_10_15,outstanding
"8,077",9,top_5_10,top_5_10,outstanding
"8,081",1,top_15_20,ordinary,ordinary
"8,087",2,top_50_100,ordinary,ordinary
"8,089",10,top_5_10,top_5_10,outstanding
"8,090",2,top_15_20,ordinary,ordinary
"8,099",1,top_50_100,ordinary,ordinary
"8,110",1,top_40_45,ordinary,ordinary
"8,113",1,top_45_50,ordinary,ordinary
"8,122",1,top_15_20,ordinary,ordinary
"8,124",117,top_5,top_5,outstanding
"8,126",3,top_15_20,ordinary,ordinary
"8,129",20,top_5,top_5,outstanding
"8,130",5,top_5_10,top_5_10,outstanding
"8,131",2,top_5_10,top_5_10,outstanding
"8,134",1,top_15_20,ordinary,ordinary
"8,135",599,top_5,top_5,outstanding
"8,136",1,top_50_100,ordinary,ordinary
"8,138",4,top_20_25,ordinary,ordinary
"8,141",3,top_5,top_5,outstanding
"8,145",3,top_15_20,ordinary,ordinary
"8,149",6,top_5_10,top_5_10,outstanding
"8,150",1,top_50_100,ordinary,ordinary
"8,151",1,top_15_20,ordinary,ordinary
"8,157",1,top_50_100,ordinary,ordinary
"8,159",3,top_10_15,top_10_15,outstanding
"8,162",7,top_10_15,top_10_15,outstanding
"8,163",2,top_5_10,top_5_10,outstanding
"8,165",1,top_15_20,ordinary,ordinary
"8,167",3,top_50_100,ordinary,ordinary
