"id_user","count_we_usage","category","class","class2"
"11,328",21,top_5,top_5,outstanding
"11,342",2,top_50_100,ordinary,ordinary
"11,346",8,top_5_10,top_5_10,outstanding
"11,353",9,top_25_30,ordinary,ordinary
"11,355",1,top_45_50,ordinary,ordinary
"11,369",1,top_10_15,top_10_15,outstanding
"11,373",6,top_20_25,ordinary,ordinary
"11,382",3,top_50_100,ordinary,ordinary
"11,385",2,top_50_100,ordinary,ordinary
"11,387",1,top_45_50,ordinary,ordinary
"11,391",1,top_5_10,top_5_10,outstanding
"11,393",5,top_50_100,ordinary,ordinary
"11,397",3,top_20_25,ordinary,ordinary
"11,407",5,top_50_100,ordinary,ordinary
"11,410",2,top_45_50,ordinary,ordinary
"11,412",3,top_5_10,top_5_10,outstanding
"11,414",1,top_50_100,ordinary,ordinary
"11,418",3,top_30_35,ordinary,ordinary
"11,421",1,top_50_100,ordinary,ordinary
"11,422",1,top_50_100,ordinary,ordinary
"11,429",4,top_5,top_5,outstanding
"11,430",5,top_25_30,ordinary,ordinary
"11,437",3,top_50_100,ordinary,ordinary
"11,448",2,top_5,top_5,outstanding
"11,454",4,top_45_50,ordinary,ordinary
"11,456",2,top_50_100,ordinary,ordinary
"11,469",1,top_50_100,ordinary,ordinary
"11,475",2,top_10_15,top_10_15,outstanding
"11,477",1,top_50_100,ordinary,ordinary
"11,481",3,top_50_100,ordinary,ordinary
"11,482",1,top_50_100,ordinary,ordinary
"11,496",13,top_5_10,top_5_10,outstanding
"11,512",1,top_50_100,ordinary,ordinary
"11,518",2,top_5,top_5,outstanding
"11,522",1,top_45_50,ordinary,ordinary
"11,542",1,top_5_10,top_5_10,outstanding
"11,550",3,top_5_10,top_5_10,outstanding
"11,560",2,top_20_25,ordinary,ordinary
"11,570",2,top_10_15,top_10_15,outstanding
"11,576",1,top_50_100,ordinary,ordinary
"11,581",1,top_5_10,top_5_10,outstanding
"11,586",1,top_35_40,ordinary,ordinary
"11,587",2,top_15_20,ordinary,ordinary
"11,592",4,top_10_15,top_10_15,outstanding
"11,597",2,top_50_100,ordinary,ordinary
"11,600",1,top_20_25,ordinary,ordinary
"11,608",3,top_5_10,top_5_10,outstanding
"11,616",1,top_50_100,ordinary,ordinary
"11,617",2,top_5,top_5,outstanding
"11,622",2,top_50_100,ordinary,ordinary
"11,633",2,top_50_100,ordinary,ordinary
"11,647",1,top_30_35,ordinary,ordinary
"11,651",4,top_5_10,top_5_10,outstanding
"11,652",7,top_30_35,ordinary,ordinary
"11,656",4,top_50_100,ordinary,ordinary
"11,676",7,top_50_100,ordinary,ordinary
"11,690",6,top_35_40,ordinary,ordinary
"11,692",10,top_5,top_5,outstanding
"11,693",14,top_5,top_5,outstanding
"11,700",2,top_50_100,ordinary,ordinary
"11,701",17,top_20_25,ordinary,ordinary
"11,702",8,top_35_40,ordinary,ordinary
"11,705",1,top_50_100,ordinary,ordinary
"11,709",30,top_5,top_5,outstanding
"11,714",4,top_20_25,ordinary,ordinary
"11,724",1,top_50_100,ordinary,ordinary
"11,730",4,top_40_45,ordinary,ordinary
"11,731",1,top_15_20,ordinary,ordinary
"11,732",4,top_5_10,top_5_10,outstanding
"11,738",1,top_50_100,ordinary,ordinary
"11,742",4,top_30_35,ordinary,ordinary
"11,751",5,top_35_40,ordinary,ordinary
"11,755",1,top_50_100,ordinary,ordinary
"11,761",5,top_5_10,top_5_10,outstanding
"11,767",8,top_10_15,top_10_15,outstanding
"11,769",3,top_25_30,ordinary,ordinary
"11,770",35,top_5,top_5,outstanding
"11,774",2,top_10_15,top_10_15,outstanding
"11,776",20,top_10_15,top_10_15,outstanding
"11,780",3,top_15_20,ordinary,ordinary
"11,782",1,top_50_100,ordinary,ordinary
"11,787",1,top_5_10,top_5_10,outstanding
"11,792",16,top_5_10,top_5_10,outstanding
"11,797",2,top_5_10,top_5_10,outstanding
"11,809",5,top_5,top_5,outstanding
"11,820",31,top_5,top_5,outstanding
"11,836",3,top_50_100,ordinary,ordinary
"11,838",1,top_50_100,ordinary,ordinary
"11,840",51,top_5,top_5,outstanding
"11,846",2,top_5_10,top_5_10,outstanding
"11,849",2,top_5_10,top_5_10,outstanding
"11,853",28,top_5_10,top_5_10,outstanding
"11,866",8,top_5_10,top_5_10,outstanding
"11,868",8,top_5,top_5,outstanding
"11,873",2,top_20_25,ordinary,ordinary
"11,899",7,top_45_50,ordinary,ordinary
"11,900",2,top_50_100,ordinary,ordinary
"11,906",1,top_50_100,ordinary,ordinary
"11,913",5,top_50_100,ordinary,ordinary
"11,918",1,top_50_100,ordinary,ordinary
"11,920",11,top_20_25,ordinary,ordinary
"11,923",2,top_5_10,top_5_10,outstanding
"11,927",8,top_15_20,ordinary,ordinary
"11,930",1,top_15_20,ordinary,ordinary
"11,933",2,top_35_40,ordinary,ordinary
"11,948",1,top_30_35,ordinary,ordinary
"11,954",2,top_50_100,ordinary,ordinary
"11,956",1,top_50_100,ordinary,ordinary
"11,958",3,top_5_10,top_5_10,outstanding
"11,960",1,top_25_30,ordinary,ordinary
"11,969",1,top_10_15,top_10_15,outstanding
"11,975",3,top_50_100,ordinary,ordinary
"11,978",2,top_10_15,top_10_15,outstanding
"11,979",2,top_5_10,top_5_10,outstanding
"11,983",1,top_50_100,ordinary,ordinary
"11,995",1,top_35_40,ordinary,ordinary
