"id_user","count_they_usage","category","class","class2"
"50,426",4,top_50_100,ordinary,ordinary
"50,428",2,top_15_20,ordinary,ordinary
"50,456",1,top_10_15,top_10_15,outstanding
"50,473",1,top_30_35,ordinary,ordinary
"50,501",2,top_30_35,ordinary,ordinary
"50,512",1,top_50_100,ordinary,ordinary
"50,522",2,top_50_100,ordinary,ordinary
"50,553",1,top_35_40,ordinary,ordinary
"50,573",1,top_50_100,ordinary,ordinary
"50,576",11,top_5,top_5,outstanding
"50,578",5,top_50_100,ordinary,ordinary
"50,616",1,top_50_100,ordinary,ordinary
"50,679",12,top_5_10,top_5_10,outstanding
"50,717",2,top_5,top_5,outstanding
"50,721",1,top_50_100,ordinary,ordinary
"50,732",3,top_40_45,ordinary,ordinary
"50,735",1,top_40_45,ordinary,ordinary
"50,737",12,top_5,top_5,outstanding
"50,740",1,top_50_100,ordinary,ordinary
"50,744",1,top_50_100,ordinary,ordinary
"50,754",1,top_50_100,ordinary,ordinary
"50,762",1,top_50_100,ordinary,ordinary
"50,785",2,top_50_100,ordinary,ordinary
