"id_user","count_she_he_usage","category","class","class2"
"7,274",6,top_5,top_5,outstanding
"7,277",1,top_5_10,top_5_10,outstanding
"7,282",1,top_5_10,top_5_10,outstanding
"7,314",2,top_10_15,top_10_15,outstanding
"7,318",1,top_5,top_5,outstanding
"7,325",10,top_5,top_5,outstanding
"7,330",1,top_10_15,top_10_15,outstanding
"7,333",5,top_5,top_5,outstanding
"7,335",1,top_5_10,top_5_10,outstanding
"7,344",1,top_15_20,ordinary,ordinary
"7,345",1,top_10_15,top_10_15,outstanding
"7,359",1,top_10_15,top_10_15,outstanding
"7,374",18,top_5,top_5,outstanding
"7,376",1,top_45_50,ordinary,ordinary
"7,380",1,top_10_15,top_10_15,outstanding
"7,382",1,top_50_100,ordinary,ordinary
"7,386",1,top_5,top_5,outstanding
"7,392",4,top_5,top_5,outstanding
"7,403",1,top_5,top_5,outstanding
"7,416",14,top_5,top_5,outstanding
"7,435",39,top_5,top_5,outstanding
"7,439",1,top_5,top_5,outstanding
"7,440",1,top_50_100,ordinary,ordinary
"7,443",1,top_5_10,top_5_10,outstanding
"7,445",1,top_5_10,top_5_10,outstanding
"7,454",1,top_5,top_5,outstanding
"7,466",6,top_5_10,top_5_10,outstanding
"7,467",2,top_25_30,ordinary,ordinary
"7,490",1,top_10_15,top_10_15,outstanding
"7,491",4,top_20_25,ordinary,ordinary
"7,495",2,top_5,top_5,outstanding
"7,496",2,top_10_15,top_10_15,outstanding
"7,509",2,top_25_30,ordinary,ordinary
"7,543",1,top_5_10,top_5_10,outstanding
"7,546",1,top_45_50,ordinary,ordinary
"7,558",1,top_5_10,top_5_10,outstanding
"7,565",57,top_5,top_5,outstanding
"7,571",2,top_50_100,ordinary,ordinary
"7,591",1,top_5,top_5,outstanding
"7,602",9,top_5_10,top_5_10,outstanding
"7,603",2,top_5_10,top_5_10,outstanding
"7,604",9,top_5,top_5,outstanding
"7,609",2,top_5,top_5,outstanding
"7,617",11,top_5,top_5,outstanding
"7,629",1,top_50_100,ordinary,ordinary
"7,659",2,top_20_25,ordinary,ordinary
"7,670",2,top_5_10,top_5_10,outstanding
"7,690",3,top_15_20,ordinary,ordinary
"7,698",1,top_15_20,ordinary,ordinary
"7,701",2,top_5,top_5,outstanding
"7,705",1,top_5_10,top_5_10,outstanding
"7,718",2,top_45_50,ordinary,ordinary
"7,719",8,top_5,top_5,outstanding
"7,726",2,top_5,top_5,outstanding
"7,727",1,top_35_40,ordinary,ordinary
"7,729",5,top_20_25,ordinary,ordinary
"7,730",2,top_30_35,ordinary,ordinary
"7,737",35,top_5,top_5,outstanding
"7,747",6,top_25_30,ordinary,ordinary
"7,754",1,top_5_10,top_5_10,outstanding
"7,755",4,top_15_20,ordinary,ordinary
"7,763",1,top_5_10,top_5_10,outstanding
"7,789",3,top_5_10,top_5_10,outstanding
"7,802",4,top_5,top_5,outstanding
"7,813",6,top_5,top_5,outstanding
"7,819",57,top_5,top_5,outstanding
"7,837",4,top_5,top_5,outstanding
"7,847",1,top_15_20,ordinary,ordinary
"7,848",2,top_5_10,top_5_10,outstanding
"7,850",1,top_15_20,ordinary,ordinary
"7,859",7,top_5_10,top_5_10,outstanding
"7,863",1,top_5_10,top_5_10,outstanding
"7,876",1,top_20_25,ordinary,ordinary
