"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"26,626",230.8145163386,0.2897405587,0.3095238209,2,5,ordinary,ordinary
"7,083",166.7591828568,0.2715135261,0,3,1,ordinary,ordinary
"13,563","7,565",0.2167760555,0,1,1,ordinary,ordinary
"16,068",0,0.3332617872,0.5833333135,0,12,ordinary,ordinary
"23,835","17,707.3326879701",0.3096821386,0.1973684281,7,15,ordinary,ordinary
"11,384",0,0.2600781686,0,0,2,ordinary,ordinary
"17,762",287.4007605191,0.3026384195,0.3666666746,2,9,ordinary,ordinary
"9,002","7,710.0369814074",0.3141739189,0.4222222269,3,8,ordinary,ordinary
"7,593",0,0.2386515012,0,0,2,ordinary,ordinary
"27,966",0,0.2672403901,0.5,0,2,ordinary,ordinary
"22,322",0,0.2730843642,0,0,1,ordinary,ordinary
"11,753",0,0.3325480117,0.4190476239,1,15,ordinary,ordinary
"23,216",0,0.2785052317,0,0,1,ordinary,ordinary
"8,116",41.3661022144,0.2871854958,0.3000000119,3,3,ordinary,ordinary
"10,248","7,573.4237593639",0.3136871885,0.380952388,2,7,ordinary,ordinary
"8,662",0,0.2584762222,0.5,0,2,ordinary,ordinary
"14,566",0,0.3056631013,0.6666666865,1,3,ordinary,ordinary
"14,844",451.1291982496,0.3043989803,0.4523809552,3,5,ordinary,ordinary
"14,998","1,285.7952628415",0.3256415635,0.3666666746,3,13,ordinary,ordinary
"14,996",100.2228998504,0.2672290125,0.25,2,4,ordinary,ordinary
"9,078",0,0.2838595636,0,1,1,ordinary,ordinary
"12,621",0,0.3120519863,0.5,0,5,ordinary,ordinary
"8,297","7,567",1,0.3333333433,2,2,ordinary,ordinary
"8,716","7,589.5697896523",0.2800360794,0.3000000119,2,5,ordinary,ordinary
"15,452",35.7826181718,0.3212167195,0.696428597,2,7,ordinary,ordinary
"11,098",0,0.3040668451,0.8333333135,0,3,ordinary,ordinary
"9,035","8,239.1898306981",0.3142587219,0.3333333433,1,14,ordinary,ordinary
"6,930","16,542.9807762474",0.3126972403,0.3035714328,3,7,ordinary,ordinary
"17,052",13.0402064602,0.3028549132,0.200000003,1,4,ordinary,ordinary
"28,606",0,0.2788219801,0.3333333433,1,3,ordinary,ordinary
"17,964","7,564",0.2671676897,0.5,1,2,ordinary,ordinary
"15,921",0,0.2939654084,1,1,2,ordinary,ordinary
"20,674",0,0.2983602357,0.4047619104,1,7,ordinary,ordinary
"17,832",13.7782920995,0.2479633672,0.1666666716,2,2,ordinary,ordinary
"11,701","59,936.2017028914",0.3234477011,0.1066126823,13,32,ordinary,ordinary
"8,042","12,221",0.2993122951,0.3333333433,2,3,ordinary,ordinary
