"display_name","count","id_user","category","class","class2"
Chill2Macht,1,"22,150",top_15_20,ordinary,ordinary
Zano,1,"7,576",top_15_20,ordinary,ordinary
Nemexia,1,"19,635",top_15_20,ordinary,ordinary
pointernil,1,"7,233",top_10_15,top_10_15,outstanding
Benjli,1,"15,651",top_15_20,ordinary,ordinary
The-Ever-Kid,1,"7,495",top_5,top_5,outstanding
Valorum,1,"22,755",top_15_20,ordinary,ordinary
masfenix,1,"11,197",top_15_20,ordinary,ordinary
Umar,1,"26,066",top_15_20,ordinary,ordinary
d.putto,1,"7,389",top_15_20,ordinary,ordinary
user3658307,1,"26,209",top_15_20,ordinary,ordinary
M.B.,1,"8,122",top_15_20,ordinary,ordinary
user10739,1,"9,520",top_50_100,ordinary,ordinary
higgs241,1,"9,163",top_10_15,top_10_15,outstanding
user31840,1,"27,595",top_50_100,ordinary,ordinary
helicopterjeff,1,"7,506",top_50_100,ordinary,ordinary
hexagon,1,"26,626",top_15_20,ordinary,ordinary
doctorate,1,"8,757",top_15_20,ordinary,ordinary
ememem,1,"14,673",top_50_100,ordinary,ordinary
rafraf,1,"17,922",top_15_20,ordinary,ordinary
Lelouch,1,"21,675",top_15_20,ordinary,ordinary
randominstanceOfLivingThing,1,"11,256",top_15_20,ordinary,ordinary
porton,1,"9,453",top_10_15,top_10_15,outstanding
Mehdi,1,"11,037",top_10_15,top_10_15,outstanding
jreut,1,"7,511",top_15_20,ordinary,ordinary
BRZA,1,"13,276",top_10_15,top_10_15,outstanding
Arjun,1,"28,447",top_15_20,ordinary,ordinary
Adam893,1,"13,385",top_50_100,ordinary,ordinary
Canageek,1,"8,151",top_15_20,ordinary,ordinary
user952,1,"7,569",top_15_20,ordinary,ordinary
DvPr,1,"20,769",top_50_100,ordinary,ordinary
RhysW,1,"8,815",top_15_20,ordinary,ordinary
Mnementh,1,"15,764",top_15_20,ordinary,ordinary
LStrike,1,"25,779",top_15_20,ordinary,ordinary
DivideByZero,1,"21,010",top_15_20,ordinary,ordinary
KermittDuss,1,"20,926",top_50_100,ordinary,ordinary
permeakra,1,"8,255",no_participation,ordinary,ordinary
giorgian,1,"10,248",top_15_20,ordinary,ordinary
CDspace,1,"14,844",top_15_20,ordinary,ordinary
john01dav,1,"20,385",top_10_15,top_10_15,outstanding
Lucian09474,1,"14,998",top_15_20,ordinary,ordinary
Taimur,1,"25,485",top_10_15,top_10_15,outstanding
zoran404,1,"9,367",top_15_20,ordinary,ordinary
Goldname,1,"19,758",top_15_20,ordinary,ordinary
Flux,1,"9,689",top_10_15,top_10_15,outstanding
gavenkoa,1,"11,459",top_15_20,ordinary,ordinary
anomal,1,"10,473",top_10_15,top_10_15,outstanding
