"display_name","count","id_user","category","class","class2"
user38146,1,"48,354",top_50_100,ordinary,ordinary
iDomo,1,"40,341",top_50_100,ordinary,ordinary
Alek,1,"45,059",top_50_100,ordinary,ordinary
Mewton,1,"55,861",top_50_100,ordinary,ordinary
user5714,1,"32,711",top_50_100,ordinary,ordinary
Barbu,1,"48,064",top_50_100,ordinary,ordinary
iso345,1,"37,868",top_50_100,ordinary,ordinary
Pickering,1,"31,573",top_50_100,ordinary,ordinary
Gordon,1,"38,574",top_50_100,ordinary,ordinary
yjasz98,1,"45,230",top_50_100,ordinary,ordinary
Ambarish,1,"46,613",top_50_100,ordinary,ordinary
adi,1,"40,022",top_50_100,ordinary,ordinary
aidaGoG,1,"40,009",top_50_100,ordinary,ordinary
Goodyear,1,"43,962",top_50_100,ordinary,ordinary
name,1,"51,464",top_50_100,ordinary,ordinary
GhostFX,1,"45,402",top_50_100,ordinary,ordinary
redbull123,1,"51,259",top_50_100,ordinary,ordinary
user40353,1,"50,408",top_50_100,ordinary,ordinary
user1825567,1,"41,885",top_5,top_5,outstanding
Feodoran,1,"54,419",top_5,top_5,outstanding
owjburnham,1,"50,347",top_5,top_5,outstanding
craigim,1,"30,022",top_5,top_5,outstanding
caconyrn,1,"33,645",top_5,top_5,outstanding
Armfoot,1,"37,320",top_5,top_5,outstanding
user2246,1,"30,740",top_5,top_5,outstanding
ziggy,1,"36,723",top_5,top_5,outstanding
L.B.,1,"32,240",top_5,top_5,outstanding
Tinkidinki,1,"39,297",top_5,top_5,outstanding
Ris97,1,"31,197",top_5,top_5,outstanding
chiari,1,"56,196",top_50_100,ordinary,ordinary
Newton,1,"38,678",top_5,top_5,outstanding
fyrepenguin,1,"42,301",top_5,top_5,outstanding
mnmakrets,1,"40,360",top_35_40,ordinary,ordinary
varun,1,"36,045",top_50_100,ordinary,ordinary
Isobutane,1,"46,410",top_5,top_5,outstanding
freude,1,"30,284",top_5,top_5,outstanding
Fiire,1,"29,424",top_5,top_5,outstanding
user176105,1,"29,146",top_5,top_5,outstanding
DrHarps,1,"34,293",top_5,top_5,outstanding
dsmith,1,"34,663",top_50_100,ordinary,ordinary
Bdrs,1,"46,630",top_5,top_5,outstanding
becko,1,"29,809",top_5_10,top_5_10,outstanding
Jesuspowder,1,"50,420",top_5_10,top_5_10,outstanding
duplode,1,"31,088",top_5_10,top_5_10,outstanding
TOLA3HPPA,1,"44,182",top_5_10,top_5_10,outstanding
marshall,1,"30,343",top_5_10,top_5_10,outstanding
Maher,1,"32,852",top_5_10,top_5_10,outstanding
Paraquat,1,"48,887",top_5_10,top_5_10,outstanding
Coherent,1,"33,450",top_5_10,top_5_10,outstanding
jaykirby,1,"30,411",top_5_10,top_5_10,outstanding
Lucademicus,1,"39,886",top_5_10,top_5_10,outstanding
saldenisov,1,"31,795",top_5,top_5,outstanding
james_ash,1,"29,101",top_5,top_5,outstanding
DJohnM,1,"31,076",top_5_10,top_5_10,outstanding
Aabaakawad,1,"38,715",top_5_10,top_5_10,outstanding
turnt,1,"33,374",top_5,top_5,outstanding
user51166,1,"29,122",top_5_10,top_5_10,outstanding
IanF1,1,"49,752",no_participation,ordinary,ordinary
Kunal,1,"51,950",no_participation,ordinary,ordinary
EdmDroid,1,"35,463",top_5_10,top_5_10,outstanding
User5,1,"43,906",top_5_10,top_5_10,outstanding
Fawad,1,"45,984",top_5_10,top_5_10,outstanding
StevieD,1,"42,374",top_5,top_5,outstanding
ste,1,"32,008",top_5,top_5,outstanding
Epicentre,1,"29,502",top_5,top_5,outstanding
DarenW,1,"29,367",top_5_10,top_5_10,outstanding
Cardtrick,1,"28,878",top_5,top_5,outstanding
okarin,1,"31,618",top_5_10,top_5_10,outstanding
Satyajeet,1,"37,407",top_5_10,top_5_10,outstanding
Slavatron,1,"33,111",top_5_10,top_5_10,outstanding
Galen,1,"34,699",top_5_10,top_5_10,outstanding
riemannium,1,"31,221",top_5_10,top_5_10,outstanding
user37421,1,"31,995",top_5_10,top_5_10,outstanding
jvriesem,1,"36,848",top_5_10,top_5_10,outstanding
quidproquo,1,"35,246",top_5_10,top_5_10,outstanding
Richardbernstein,1,"29,374",top_5_10,top_5_10,outstanding
user80551,1,"30,485",top_5_10,top_5_10,outstanding
hhh,1,"29,649",top_5_10,top_5_10,outstanding
mick,1,"29,355",top_5_10,top_5_10,outstanding
olliepower,1,"32,714",top_5_10,top_5_10,outstanding
coloratura,1,"38,331",top_5,top_5,outstanding
user14717,1,"37,947",top_5_10,top_5_10,outstanding
user1915639,1,"29,679",top_5,top_5,outstanding
Cetshwayo,1,"33,486",top_5_10,top_5_10,outstanding
chase,1,"29,904",top_5_10,top_5_10,outstanding
Abdullah,1,"30,439",top_5_10,top_5_10,outstanding
tillyboy,1,"54,583",top_5_10,top_5_10,outstanding
user3786990,1,"32,931",top_5_10,top_5_10,outstanding
SimonS,1,"29,080",top_5_10,top_5_10,outstanding
KalleMP,1,"42,065",top_5_10,top_5_10,outstanding
ghosts_in_the_code,1,"38,964",top_5_10,top_5_10,outstanding
Ricardo,1,"31,320",no_participation,ordinary,ordinary
Aniansh,1,"41,614",top_5_10,top_5_10,outstanding
CCC,1,"40,730",top_5_10,top_5_10,outstanding
nitrl,1,"29,847",top_5_10,top_5_10,outstanding
netom,1,"34,203",top_5_10,top_5_10,outstanding
Nope,1,"30,278",top_5_10,top_5_10,outstanding
apocryphalauthor,1,"35,552",top_5_10,top_5_10,outstanding
Aerovistae,1,"29,174",top_5_10,top_5_10,outstanding
bodacydo,1,"35,905",top_5_10,top_5_10,outstanding
Ignacio,1,"36,563",top_5_10,top_5_10,outstanding
Sosi,1,"29,606",top_5_10,top_5_10,outstanding
Rainer,1,"39,732",top_5_10,top_5_10,outstanding
MackTuesday,1,"39,163",top_5_10,top_5_10,outstanding
spraff,1,"34,574",top_5_10,top_5_10,outstanding
user2879934,1,"39,915",top_5_10,top_5_10,outstanding
Glycerius,1,"48,228",top_5_10,top_5_10,outstanding
AttributedTensorField,1,"32,770",top_5_10,top_5_10,outstanding
tardigrade,1,"44,843",top_5_10,top_5_10,outstanding
Harpal,1,"28,954",top_5_10,top_5_10,outstanding
Vytenis,1,"28,923",top_5_10,top_5_10,outstanding
RLH,1,"29,380",top_10_15,top_10_15,outstanding
beginner_,1,"33,890",no_participation,ordinary,ordinary
zero,1,"42,356",no_participation,ordinary,ordinary
nekomatic,1,"33,304",top_10_15,top_10_15,outstanding
Singh,1,"32,270",top_10_15,top_10_15,outstanding
ulidtko,1,"41,330",top_10_15,top_10_15,outstanding
Tina,1,"53,179",top_10_15,top_10_15,outstanding
Howsikan,1,"42,024",top_10_15,top_10_15,outstanding
costrom,1,"38,892",top_10_15,top_10_15,outstanding
JavaNewbie_M107,1,"30,506",top_10_15,top_10_15,outstanding
Nit,1,"32,351",top_10_15,top_10_15,outstanding
Avi,1,"46,232",top_10_15,top_10_15,outstanding
Shmoopy,1,"30,995",top_10_15,top_10_15,outstanding
Darshan,1,"40,140",no_participation,ordinary,ordinary
Cargo,1,"29,459",top_5,top_5,outstanding
user1306322,1,"31,037",top_10_15,top_10_15,outstanding
Rory,1,"28,905",top_5,top_5,outstanding
Yann,1,"28,806",top_10_15,top_10_15,outstanding
baharini,1,"32,755",top_10_15,top_10_15,outstanding
pwcnorthrop,1,"44,902",top_10_15,top_10_15,outstanding
Arc676,1,"31,637",top_10_15,top_10_15,outstanding
aabmass,1,"39,518",top_10_15,top_10_15,outstanding
xyz123,1,"47,213",top_10_15,top_10_15,outstanding
Sparrowcide,1,"38,494",top_10_15,top_10_15,outstanding
Cyrus,1,"29,727",top_10_15,top_10_15,outstanding
