"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"12,729",0.6931471806,0,8,4,0,ordinary,ordinary
"12,732",0,2,0,2,2,ordinary,ordinary
"12,735",0.6931471806,0,1,2,1,ordinary,ordinary
"12,739",0,6,0,6,0,ordinary,ordinary
"12,740",0,1,1,1,0,ordinary,ordinary
"12,743",7.7105018949,30,29,60,77,top_5,outstanding
"12,744",1.7480673485,2,0,5,2,ordinary,ordinary
"12,747",0.6931471806,1,1,1,6,ordinary,ordinary
"12,751",1.3862943611,1,0,0,4,top_10_15,outstanding
"12,753",0,0,1,0,1,ordinary,ordinary
"12,756",1.0986122887,4,0,2,6,ordinary,ordinary
"12,758",2.3693821197,1,1,6,4,ordinary,ordinary
"12,761",0,1,0,1,1,ordinary,ordinary
"12,764",0,1,0,1,1,ordinary,ordinary
"12,765",0,0,0,1,1,ordinary,ordinary
"12,770",0,1,1,1,0,ordinary,ordinary
"12,782",0,1,0,0,1,top_5_10,outstanding
"12,783",0,1,0,1,0,ordinary,ordinary
"12,784",0,4,4,4,0,ordinary,ordinary
"12,786",1.3095258353,3,0,1,5,ordinary,ordinary
"12,787",0,0,0,1,0,ordinary,ordinary
"12,789",0.6931471806,6,0,0,0,ordinary,ordinary
"12,793",0,0,1,0,0,top_10_15,outstanding
"12,794",0,0,0,1,1,ordinary,ordinary
"12,795",0.6931471806,2,1,0,0,ordinary,ordinary
"12,798",0,1,0,0,0,ordinary,ordinary
"12,799",5.2890045858,6,22,26,6,top_5,outstanding
"12,800",0,1,1,1,0,ordinary,ordinary
"12,802",0,2,0,1,1,ordinary,ordinary
"12,809",2.0228085294,4,0,3,2,ordinary,ordinary
"12,811",0,2,0,2,2,ordinary,ordinary
"12,812",0,0,0,0,1,ordinary,ordinary
"12,814",0,0,0,1,1,ordinary,ordinary
"12,819",1.3296613489,0,0,0,6,ordinary,ordinary
"12,821",5.5316945632,7,11,12,5,top_5,outstanding
"12,824",0,1,0,1,1,ordinary,ordinary
"12,826",1.2730283366,3,0,1,3,ordinary,ordinary
"12,828",0,0,2,0,0,ordinary,ordinary
"12,832",2.4849066498,1,3,2,4,top_10_15,outstanding
"12,834",1.1988493129,3,0,4,2,ordinary,ordinary
"12,836",0,6,0,0,6,ordinary,ordinary
"12,839",0.6931471806,0,0,2,0,ordinary,ordinary
"12,841",1.0397207708,1,4,1,2,ordinary,ordinary
"12,842",0,2,2,2,0,ordinary,ordinary
"12,845",0,10,0,0,0,ordinary,ordinary
"12,848",0,1,0,0,0,ordinary,ordinary
"12,849",0.6931471806,0,1,0,2,ordinary,ordinary
"12,852",0.6931471806,3,0,0,2,ordinary,ordinary
"12,856",0,0,0,1,0,ordinary,ordinary
"12,857",0,0,0,0,1,ordinary,ordinary
"12,859",0,1,0,1,1,ordinary,ordinary
"12,860",0.6931471806,4,0,8,0,ordinary,ordinary
"12,862",0.6931471806,0,1,1,2,ordinary,ordinary
"12,863",0.6931471806,2,2,0,4,ordinary,ordinary
"12,866",0,1,0,0,1,ordinary,ordinary
"12,867",0.6931471806,0,1,0,2,ordinary,ordinary
"12,868",0,1,1,1,0,ordinary,ordinary
"12,871",0,0,1,1,0,ordinary,ordinary
"12,872",0,1,1,1,0,ordinary,ordinary
"12,873",0,4,0,0,0,ordinary,ordinary
"12,876",4.1529561301,7,6,12,6,top_10_15,outstanding
"12,879",0.6931471806,0,0,0,2,ordinary,ordinary
"12,880",0.6365141683,0,3,0,0,ordinary,ordinary
"12,884",0,0,2,2,0,ordinary,ordinary
"12,891",0.6931471806,0,1,2,0,ordinary,ordinary
"12,893",0,2,0,0,2,ordinary,ordinary
"12,894",0,0,0,1,1,ordinary,ordinary
"12,895",0,1,0,0,0,ordinary,ordinary
"12,896",0,0,2,2,0,ordinary,ordinary
