"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"43,238",0.6931471806,0,2,1,0,ordinary,ordinary
"43,239",7.9888572789,17,21,61,29,top_5,outstanding
"43,246",0,1,0,0,0,ordinary,ordinary
"43,247",0,2,0,2,0,ordinary,ordinary
"43,249",0.6931471806,0,0,4,0,ordinary,ordinary
"43,253",0,0,0,0,1,ordinary,ordinary
"43,254",1.0986122887,3,0,1,0,ordinary,ordinary
"43,265",0,1,0,0,0,ordinary,ordinary
"43,267",0,0,0,1,1,ordinary,ordinary
"43,269",0,2,2,2,0,ordinary,ordinary
"43,272",0.6931471806,3,0,6,0,ordinary,ordinary
"43,273",0,0,2,2,0,ordinary,ordinary
"43,274",0,1,0,1,0,ordinary,ordinary
"43,278",0.6931471806,0,20,10,0,ordinary,ordinary
"43,280",1.3730039129,0,0,11,0,ordinary,ordinary
"43,284",0,0,1,1,1,ordinary,ordinary
"43,285",0,1,0,1,0,ordinary,ordinary
"43,286",0,0,0,1,0,ordinary,ordinary
"43,287",0.6931471806,0,0,1,2,top_10_15,outstanding
"43,289",0.6931471806,2,0,1,0,ordinary,ordinary
"43,290",0.6931471806,2,0,4,0,ordinary,ordinary
"43,291",0,3,3,3,0,ordinary,ordinary
"43,293",0,0,0,0,1,ordinary,ordinary
"43,295",1.9913464134,0,0,15,3,top_10_15,outstanding
"43,297",0,0,0,1,1,ordinary,ordinary
"43,300",0,0,0,1,1,ordinary,ordinary
"43,302",0.6931471806,0,0,2,0,ordinary,ordinary
"43,303",0,0,0,0,1,ordinary,ordinary
"43,305",0,0,1,1,1,top_5_10,outstanding
"43,309",9.4316605318,89,42,74,18,top_5,outstanding
"43,313",1.0986122887,3,3,3,0,ordinary,ordinary
"43,317",0,0,0,1,0,ordinary,ordinary
"43,321",0,4,0,0,4,ordinary,ordinary
"43,323",0,0,1,0,0,ordinary,ordinary
"43,324",1.0397207708,0,1,4,2,ordinary,ordinary
"43,326",0.6931471806,0,0,0,2,ordinary,ordinary
"43,327",0.6931471806,0,0,4,0,ordinary,ordinary
"43,329",1.0789922079,0,0,7,0,ordinary,ordinary
"43,330",0.6931471806,2,0,0,0,ordinary,ordinary
"43,333",0,0,0,0,1,ordinary,ordinary
"43,335",0,0,0,1,0,ordinary,ordinary
"43,336",0,0,0,1,0,ordinary,ordinary
"43,342",1.3383898786,0,0,11,7,ordinary,ordinary
"43,344",1.0986122887,0,0,12,0,ordinary,ordinary
"43,347",0,0,1,0,0,ordinary,ordinary
"43,350",0.6931471806,0,0,2,1,ordinary,ordinary
"43,354",0.6931471806,0,1,2,0,ordinary,ordinary
"43,355",0.6931471806,1,0,2,0,ordinary,ordinary
"43,358",0.6931471806,2,0,0,0,ordinary,ordinary
"43,361",0.6931471806,2,0,0,0,ordinary,ordinary
"43,362",0.7937300552,1,0,13,2,ordinary,ordinary
"43,363",0.6931471806,1,0,2,0,ordinary,ordinary
"43,364",0.5623351446,4,0,1,1,ordinary,ordinary
"43,366",0.6931471806,2,0,1,0,ordinary,ordinary
"43,367",1.3862943611,2,0,2,1,ordinary,ordinary
"43,370",6.0768312643,20,9,49,2,top_5_10,outstanding
"43,371",1.6364955729,10,5,8,0,ordinary,ordinary
"43,372",0.6682484777,18,7,0,0,ordinary,ordinary
"43,375",0.6931471806,2,0,1,0,ordinary,ordinary
"43,378",1.3862943611,2,2,2,0,ordinary,ordinary
"43,379",0.6931471806,1,0,2,0,ordinary,ordinary
"43,380",1.0986122887,6,0,5,0,ordinary,ordinary
"43,381",0,1,0,0,1,ordinary,ordinary
"43,384",0.6931471806,0,2,4,0,ordinary,ordinary
"43,388",0.6931471806,4,0,2,0,ordinary,ordinary
"43,392",1.8919964935,3,0,8,3,ordinary,ordinary
"43,394",0,1,0,0,0,ordinary,ordinary
"43,396",1.0986122887,0,0,3,0,ordinary,ordinary
"43,399",0.6931471806,0,4,2,0,ordinary,ordinary
"43,402",0,0,0,1,0,ordinary,ordinary
"43,403",0,1,0,0,0,ordinary,ordinary
"43,405",0,1,1,0,0,ordinary,ordinary
"43,407",0.6365141683,2,0,2,3,ordinary,ordinary
"43,408",0.6931471806,0,0,4,2,ordinary,ordinary
"43,417",0,1,1,1,0,ordinary,ordinary
"43,420",0.6931471806,0,0,0,4,ordinary,ordinary
"43,424",1.9661755171,3,1,6,1,ordinary,ordinary
"43,426",1.3801087572,1,0,9,4,ordinary,ordinary
"43,428",0,0,0,1,1,ordinary,ordinary
"43,438",3.2407019705,3,3,32,2,top_5_10,outstanding
"43,441",0.6931471806,2,0,0,1,ordinary,ordinary
"43,442",0,0,0,2,2,ordinary,ordinary
"43,444",0,0,0,1,0,ordinary,ordinary
"43,445",0,0,0,1,0,ordinary,ordinary
"43,451",0,1,0,1,0,ordinary,ordinary
"43,452",1.8425281463,16,0,5,0,top_10_15,outstanding
"43,455",0.6931471806,0,0,2,0,ordinary,ordinary
"43,461",0,2,0,2,0,ordinary,ordinary
"43,465",0,1,0,1,0,ordinary,ordinary
"43,467",0,1,0,1,0,ordinary,ordinary
"43,474",7.9694980786,20,27,58,28,top_5,outstanding
"43,476",0,2,0,0,0,ordinary,ordinary
"43,477",0.6931471806,0,1,2,0,ordinary,ordinary
"43,478",0,1,0,0,0,ordinary,ordinary
"43,479",1.0986122887,3,0,0,1,ordinary,ordinary
