"id_user" ;"diff_min" ;"class" ;"class2"
6,938 ;36.4662166667 ;top_5 ;outstanding
8,350 ;10.3663333333 ;top_5 ;outstanding
9,410 ;21.24745 ;top_5 ;outstanding
14,960 ;47.7683333333 ;top_5 ;outstanding
9,504 ;3,465.98645 ;top_5 ;outstanding
11,328 ;184,432.8542166667 ;top_5 ;outstanding
11,617 ;1.6141166667 ;top_5 ;outstanding
24,172 ;4.3067666667 ;top_5 ;outstanding
16,806 ;339,731.77895 ;top_5 ;outstanding
11,692 ;46,784.2141666667 ;top_5 ;outstanding
21,987 ;217.4139333333 ;top_5 ;outstanding
6,794 ;1,553.27755 ;top_5 ;outstanding
22,795 ;44.9121666667 ;top_5 ;outstanding
15,935 ;303,786.6677833333 ;top_5 ;outstanding
8,176 ;19.825 ;top_5 ;outstanding
11,820 ;1.8218333333 ;top_5 ;outstanding
11,313 ;5,832.008 ;top_5 ;outstanding
12,035 ;1.2814 ;top_5 ;outstanding
12,650 ;22.96195 ;top_5 ;outstanding
15,964 ;69.8578333333 ;top_5 ;outstanding
7,214 ;2.71445 ;top_5 ;outstanding
7,398 ;11.6191166667 ;top_5 ;outstanding
11,124 ;37.173 ;top_5 ;outstanding
11,298 ;80,545.2217666667 ;top_5 ;outstanding
11,709 ;0.4942833333 ;top_5 ;outstanding
10,585 ;125,247.4576666667 ;top_5 ;outstanding
13,922 ;6.685 ;top_5 ;outstanding
14,807 ;35,274.2442666667 ;top_5 ;outstanding
7,297 ;37.9081 ;top_5 ;outstanding
12,392 ;0.3088333333 ;top_5 ;outstanding
14,405 ;372.8222666667 ;top_5 ;outstanding
13,537 ;0 ;top_5 ;outstanding
15,244 ;1,070.74755 ;top_5 ;outstanding
13,379 ;27.0405 ;top_5 ;outstanding
6,913 ;18.8022333333 ;top_5 ;outstanding
7,802 ;25,849.8968333333 ;top_5 ;outstanding
